id	kind	label	piece_hex	visible_piece
29057	piece	piece_29057	e888b1	舱
29058	piece	piece_29058	e88987	艇
29059	piece	piece_29059	e889a6	艦
29060	piece	piece_29060	e889ae	艮
29061	piece	piece_29061	e889b0	艰
29062	piece	piece_29062	e889b3	艳
29063	piece	piece_29063	e889be	艾
29064	piece	piece_29064	e88aad	芭
29065	piece	piece_29065	e88ab8	芸
29066	piece	piece_29066	e88abd	芽
29067	piece	piece_29067	e88bb9	苹
29068	piece	piece_29068	e88ca8	茨
29069	piece	piece_29069	e88cab	茫
29070	piece	piece_29070	e88d86	荆
29071	piece	piece_29071	e88da3	荣
29072	piece	piece_29072	e88eb1	莱
29073	piece	piece_29073	e88f85	菅
29074	piece	piece_29074	e88f87	菇
29075	piece	piece_29075	e88f96	菖
29076	piece	piece_29076	e8908c	萌
29077	piece	piece_29077	e8909d	萝
29078	piece	piece_29078	e891a6	葦
29079	piece	piece_29079	e891ac	葬
29080	piece	piece_29080	e891b5	葵
29081	piece	piece_29081	e8938b	蓋
29082	piece	piece_29082	e894ac	蔬
29083	piece	piece_29083	e89599	蕙
29084	piece	piece_29084	e895a8	蕨
29085	piece	piece_29085	e895a9	蕩
29086	piece	piece_29086	e895aa	蕪
29087	piece	piece_29087	e89687	薇
29088	piece	piece_29088	e8968a	薊
29089	piece	piece_29089	e89691	薑
29090	piece	piece_29090	e896a6	薦
29091	piece	piece_29091	e89886	蘆
29092	piece	piece_29092	e89994	虔
29093	piece	piece_29093	e8999b	虛
29094	piece	piece_29094	e89e82	螂
29095	piece	piece_29095	e89eb3	螳
29096	piece	piece_29096	e89f84	蟄
29097	piece	piece_29097	e8a095	蠕
29098	piece	piece_29098	e8a194	衔
29099	piece	piece_29099	e8a398	裘
29100	piece	piece_29100	e8a490	褐
29101	piece	piece_29101	e8a89d	訝
29102	piece	piece_29102	e8a8bb	註
29103	piece	piece_29103	e8a9a3	詣
29104	piece	piece_29104	e8a9b3	詳
29105	piece	piece_29105	e8a9b9	詹
29106	piece	piece_29106	e8aa89	誉
29107	piece	piece_29107	e8aaa0	誠
29108	piece	piece_29108	e8ac80	謀
29109	piece	piece_29109	e8aeb6	讶
29110	piece	piece_29110	e8aebf	访
29111	piece	piece_29111	e8af80	诀
29112	piece	piece_29112	e8af85	诅
29113	piece	piece_29113	e8af8f	诏
29114	piece	piece_29114	e8b0a3	谣
29115	piece	piece_29115	e8b19a	豚
29116	piece	piece_29116	e8b1ab	豫
29117	piece	piece_29117	e8b1b9	豹
29118	piece	piece_29118	e8b29e	貞
29119	piece	piece_29119	e8b2aa	貪
29120	piece	piece_29120	e8b2ab	貫
29121	piece	piece_29121	e8b2b3	貳
29122	piece	piece_29122	e8b383	賃
29123	piece	piece_29123	e8b485	贅
29124	piece	piece_29124	e8b4ab	贫
29125	piece	piece_29125	e8b58f	赏
29126	piece	piece_29126	e8b590	赐
29127	piece	piece_29127	e8b59e	赞
29128	piece	piece_29128	e8b9a4	蹤
29129	piece	piece_29129	e8bb8c	軌
29130	piece	piece_29130	e8bbbe	軾
29131	piece	piece_29131	e8bc9b	輛
29132	piece	piece_29132	e8bcaf	輯
29133	piece	piece_29133	e8bcbf	輿
29134	piece	piece_29134	e8bd9f	轟
29135	piece	piece_29135	e8bdad	轭
29136	piece	piece_29136	e8bdaf	软
29137	piece	piece_29137	e8be85	辅
29138	piece	piece_29138	e8bea6	辦
29139	piece	piece_29139	e8bea8	辨
29140	piece	piece_29140	e8bea9	辩
29141	piece	piece_29141	e8bf85	迅
29142	piece	piece_29142	e8bfab	迫
29143	piece	piece_29143	e98086	逆
29144	piece	piece_29144	e9808a	逊
29145	piece	piece_29145	e98182	遂
29146	piece	piece_29146	e98185	遅
29147	piece	piece_29147	e9819c	遜
29148	piece	piece_29148	e981a3	遣
29149	piece	piece_29149	e981a5	遥
29150	piece	piece_29150	e981a9	適
29151	piece	piece_29151	e981b5	遵
29152	piece	piece_29152	e981bc	遼
29153	piece	piece_29153	e98280	邀
29154	piece	piece_29154	e982a2	邢
29155	piece	piece_29155	e982b8	邸
29156	piece	piece_29156	e982bb	邻
29157	piece	piece_29157	e98381	郁
29158	piece	piece_29158	e98395	郕
29159	piece	piece_29159	e98489	鄉
29160	piece	piece_29160	e98492	鄒
29161	piece	piece_29161	e98594	酔
29162	piece	piece_29162	e9859a	酚
29163	piece	piece_29163	e985b1	酱
29164	piece	piece_29164	e985b5	酵
29165	piece	piece_29165	e98689	醉
29166	piece	piece_29166	e9868d	醍
29167	piece	piece_29167	e98690	醐
29168	piece	piece_29168	e98788	釈
29169	piece	piece_29169	e98789	釉
29170	piece	piece_29170	e9879c	釜
29171	piece	piece_29171	e988b7	鈷
29172	piece	piece_29172	e98984	鉄
29173	piece	piece_29173	e98997	鉗
29174	piece	piece_29174	e98aad	銭
29175	piece	piece_29175	e98ab3	銳
29176	piece	piece_29176	e98b92	鋒
29177	piece	piece_29177	e98bb8	鋸
29178	piece	piece_29178	e98cab	錫
29179	piece	piece_29179	e98caf	錯
29180	piece	piece_29180	e98e8c	鎌
29181	piece	piece_29181	e98f8d	鏍
29182	piece	piece_29182	e99098	鐘
29183	piece	piece_29183	e990b5	鐵
29184	piece	piece_29184	e990b8	鐸
29185	piece	piece_29185	e991b2	鑲
29186	piece	piece_29186	e99481	锁
29187	piece	piece_29187	e99485	锅
29188	piece	piece_29188	e994a1	锡
29189	piece	piece_29189	e99692	閒
29190	piece	piece_29190	e9978a	闊
29191	piece	piece_29191	e99795	闕
29192	piece	piece_29192	e997ad	闭
29193	piece	piece_29193	e997b2	闲
29194	piece	piece_29194	e9989c	阜
29195	piece	piece_29195	e999a3	陣
29196	piece	piece_29196	e999b7	陷
29197	piece	piece_29197	e99aa3	隣
29198	piece	piece_29198	e99b91	雑
29199	piece	piece_29199	e99b9e	雞
29200	piece	piece_29200	e99bbe	雾
29201	piece	piece_29201	e99c89	霉
29202	piece	piece_29202	e99c8d	霍
29203	piece	piece_29203	e99cbe	霾
29204	piece	piece_29204	e99e8d	鞍
29205	piece	piece_29205	e9a083	頃
29206	piece	piece_29206	e9a296	颖
29207	piece	piece_29207	e9a3be	飾
29208	piece	piece_29208	e9a5a5	饥
29209	piece	piece_29209	e9a5b2	饲
29210	piece	piece_29210	e9a688	馈
29211	piece	piece_29211	e9a6ae	馮
29212	piece	piece_29212	e9a79b	駛
29213	piece	piece_29213	e9a7bf	駿
29214	piece	piece_29214	e9a893	験
29215	piece	piece_29215	e9a997	驗
29216	piece	piece_29216	e9a99a	驚
29217	piece	piece_29217	e9a9b4	驴
29218	piece	piece_29218	e9a9b6	驶
29219	piece	piece_29219	e9aa91	骑
29220	piece	piece_29220	e9aa9e	骞
29221	piece	piece_29221	e9ac86	鬆
29222	piece	piece_29222	e9ad81	魁
29223	piece	piece_29223	e9aea8	鮨
29224	piece	piece_29224	e9b0bc	鰼
29225	piece	piece_29225	e9b197	鱗
29226	piece	piece_29226	e9b2b3	鲳
29227	piece	piece_29227	e9b2b7	鲷
29228	piece	piece_29228	e9b2b8	鲸
